Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Margaryna Flora,535,0,60,0,0,119,0,0,0,0,900,22,0
Margaryna Kama,401,0,45,0,0,119,0,0,0,0,600,14,0
Margaryna Mleczna,716,0,80,0,0,119,10,9,0,1,600,16,0
Margaryna Rama,629,0,70,0,0,122,10,5,0,0,900,9,0
Margaryna S³oneczna,716,0,80,0,0,119,7,5,0,1,600,32,0
Margaryna Palma,716,0,80,0,0,119,10,9,0,1,900,14,0
Mas³o roœlinne kubkowe,716,0,80,0,0,122,10,8,0,1,900,24,0
Mas³o wyborowe,742,1,83,1,0,9,25,16,0,1,814,3,0
S³onina,804,2,89,0,0,23,27,1,0,2,0,2,0
Smalec,888,0,100,0,0,1,1,0,0,0,0,1,0
Mlemix zambrowski,578,1,64,1,0,5,12,10,0,1,579,8,0
M¹ka pszenna typ 500,345,9,1,75,3,2,110,10,1,10,0,0,0
M¹ka pszenna typ 550,346,9,2,74,3,2,136,19,1,19,0,0,0
Kasza gryczana,339,13,3,69,6,5,443,25,3,218,0,0,0
Kasza jaglana,349,11,3,72,3,5,220,10,5,100,0,0,0
Kasza jêczmienna- per³owa,330,7,2,75,6,4,264,20,2,45,0,0,0
Kasza jêczmienna- pêczak,333,8,2,76,2,5,228,20,2,45,0,0,0
Kasza manna,351,9,1,77,3,3,116,17,1,18,0,0,0
Ry¿ bia³y,347,7,1,79,2,6,111,10,1,13,0,0,0
Ry¿ br¹zowy,325,7,2,77,9,10,260,32,1,110,0,1,0
Makaron bezjajeczny,366,10,2,79,3,2,149,20,1,22,0,0,0
Makaron dwujajeczny,382,11,3,78,3,17,158,25,2,21,4,1,0
Makaron czterojajeczny,381,12,4,76,3,31,190,30,2,29,79,0,0
Chleb ¿ytni pe³noziarnisty,239,7,2,54,6,454,356,66,3,71,0,1,0
Chleb ¿ytni jasny,243,4,1,57,5,455,115,14,1,19,0,0,0
Chleb ¿ytni jasny mleczny,255,5,2,58,5,467,145,41,1,21,6,0,0
Chleb ¿ytni razowy,225,6,2,52,6,457,278,26,2,64,0,1,0
Chleb ¿ytni razowy na miodzie,236,5,2,54,5,348,260,24,2,57,0,1,0
Chleb ¿ytni razowy z soj¹ i s³onecznikem,246,8,4,51,7,391,411,41,3,78,0,1,0
Chleb staropolski,221,5,2,51,5,447,232,22,2,52,0,1,0
Chleb ¿ytni wileñski,227,4,2,52,5,354,188,19,1,37,0,1,0
Pumpernikiel,254,6,2,58,6,395,310,28,3,68,4,1,0
Chleb baltonowski,250,6,2,56,5,391,141,16,1,28,0,1,0
Chleb chrupki,327,9,2,79,6,272,448,42,4,100,2,1,0
Chleb mazowiecki,250,6,1,56,5,394,140,16,1,29,0,1,0
Chleb mieszany ze s³onecznikiem,248,6,5,49,5,387,250,28,2,64,0,3,0
Chleb mieszany z soj¹,233,7,3,50,5,386,320,33,2,50,0,1,0
Chleb praski,246,8,1,56,5,389,142,16,1,28,0,0,0
Chleb wiejski,242,6,1,55,5,371,165,16,1,29,0,0,0
Chleb zwyk³y,247,5,1,57,5,391,148,17,1,29,0,0,0
Bagietki francuskie,285,8,2,60,2,708,124,17,1,22,0,0,0
Bu³ki grahamki,260,28,2,57,5,474,228,24,2,65,0,1,0
Bu³ki pszenne zwyk³e,274,7,2,59,2,377,112,15,1,18,0,0,0
Bu³ka tarta,350,10,2,78,6,503,202,27,2,42,0,0,0
Chleb graham,228,8,2,49,5,432,215,22,2,62,0,1,0
Bu³ki wroc³awskie,296,7,4,57,2,400,111,15,1,18,20,1,0
Kajzerki,299,8,4,59,2,464,116,16,1,19,14,1,0
Pieczywo tostowe,308,8,5,59,2,488,161,47,1,23,24,1,0
